Course Code,Course Name,Description,Program of Study,Year of Study,Total Weeks,Lecturer ID
BBA 1101,English for Academic Purposes I ,English for Academic Purposes I ,Bachelors of Business Administration,1,16,
BBA 1103,Business Mathematics I ,Business Mathematics I ,Bachelors of Business Administration,1,16,
BAC 1101,Financial Accounting I,Financial Accounting I,Bachelors of Business Administration,1,16,
BBA 1104,Introduction to Business Management,Introduction to Business Management,Bachelors of Business Administration,1,16,
BBA 1105,Micro and Macroeconomics,Micro and Macroeconomics,Bachelors of Business Administration,1,16,
BAC 2204,Computer Applications  ,Computer Applications  ,Bachelors of Business Administration,1,16,
BBA 1201,English for Academic Purposes  II,English for Academic Purposes  II,Bachelors of Business Administration,1,16,
BBA 1202,Business Mathematics II,Business Mathematics II,Bachelors of Business Administration,1,16,
BBA 1203,Business Statistics,Business Statistics,Bachelors of Business Administration,1,16,
BAC 1201,Financial Accounting II,Financial Accounting II,Bachelors of Business Administration,1,16,
BBA 1204,Principles of Management ,Principles of Management ,Bachelors of Business Administration,1,16,
BBA 2101,Marketing Fundamentals I,Marketing Fundamentals I,Bachelors of Business Administration,2,16,
BBA 2102,Business Values and Ethics,Business Values and Ethics,Bachelors of Business Administration,2,16,
BBA 2103,Organisational Behaviour ,Organisational Behaviour ,Bachelors of Business Administration,2,16,
BBA 2104,Business Environment I,Business Environment I,Bachelors of Business Administration,2,16,
BBA 2106,Communicating in Organization I ,Communicating in Organization I ,Bachelors of Business Administration,2,16,
BAC 2202,Costing and Budgetary Control,Costing and Budgetary Control,Bachelors of Business Administration,2,16,
BBA 2201,Marketing Fundamentals II,Marketing Fundamentals II,Bachelors of Business Administration,2,16,
BBA 2101,Commercial Law,Commercial Law,Bachelors of Business Administration,2,16,
BBA 2203,Business Environment II,Business Environment II,Bachelors of Business Administration,2,16,
BBA 2204,Communicating in Organizaton II ,Communicating in Organizaton II ,Bachelors of Business Administration,2,16,
BBA 3101,Managing Organizations I ,Managing Organizations I ,Bachelors of Business Administration,3,16,
BBA 3106,Business to Business Marketing,Business to Business Marketing,Bachelors of Business Administration,3,16,
BBA 3102,Management Information Systems ,Management Information Systems ,Bachelors of Business Administration,3,16,
BBA3101,Company Law 1,Company Law 1,Bachelors of Business Administration,3,16,
BBA 3103,Brands Management,Brands Management,Bachelors of Business Administration,3,16,
BBA 3105,Entrepreneurship and Small Business Management,Entrepreneurship and Small Business Management,Bachelors of Business Administration,3,16,
BBA 3202,Research Methods,Research Methods,Bachelors of Business Administration,3,16,
BBA 3203,E-Business Strategy,E-Business Strategy,Bachelors of Business Administration,3,16,
BBA 3201,Managing in Organisation II,Managing in Organisation II,Bachelors of Business Administration,3,16,
BAC 3203,Financial Management,Financial Management,Bachelors of Business Administration,3,16,
BBA 3205,Company Law II,Company Law II,Bachelors of Business Administration,3,16,
BBA 3205,Strategic Management ,Strategic Management ,Bachelors of Business Administration,3,16,
BAC 4103,Risk Management   ,Risk Management   ,Bachelors of Business Administration,4,16,
BAC 3101,Corporate Governance and Ethics ,Corporate Governance and Ethics ,Bachelors of Business Administration,4,16,
BBA 4104,Organisational Leadership,Organisational Leadership,Bachelors of Business Administration,4,16,
BBA 4105,Managerial Economics,Managerial Economics,Bachelors of Business Administration,4,16,
BBA  4106,Operations and Production Management ,Operations and Production Management ,Bachelors of Business Administration,4,16,
BBA 4102,Corporate Strategy and Planning,Corporate Strategy and Planning,Bachelors of Business Administration,4,16,
BBA 4103,Service Management,Service Management,Bachelors of Business Administration,4,16,
BBA 4201,production and Total Quality Management,production and Total Quality Management,Bachelors of Business Administration,4,16,
BBA 4202,Project Management,Project Management,Bachelors of Business Administration,4,16,
BBA 4203,International Business,International Business,Bachelors of Business Administration,4,16,
BBA 4101,Contemporary Issues in Marketing ,Contemporary Issues in Marketing ,Bachelors of Business Administration,4,16,
BBA 4205,Change Management ,Change Management ,Bachelors of Business Administration,4,16,
BBA 4206,Dissertation,Dissertation,Bachelors of Business Administration,4,16,
